,forcing function
331,-13.844479435619387
332,-12.982306007987692
333,-11.871412693199131
334,-10.946083850393975
335,-10.441721683122612
336,-10.240389087286161
337,-9.968562490568798
338,-9.269641480631986
339,-8.054052170291786
340,-6.553905183094898
341,-5.154530588822602
342,-4.132993589651947
343,-3.490501332990633
344,-2.9859901679939935
345,-2.3274208931174614
346,-1.3693811921120744
347,-0.17693344219095974
348,1.0701297720135623
349,2.234387373032011
350,3.3032273736501154
351,4.334462948720826
352,5.325238223784388
353,6.134212161427493
354,6.5460786159401465
355,6.4464539395213665
356,5.970935120162207
357,5.492283825370199
358,5.422420036170258
359,5.950036956055728
360,6.899066628736686
361,7.821836766895574
362,8.278393684428375
363,8.116411100614929
364,7.557318212042308
365,7.025733734037258
366,6.839991065811769
367,6.981797850224525
368,7.108882224801173
369,6.802645333268155
370,5.875668321643886
371,4.521165070038592
372,3.1986252605486256
373,2.3362071122573345
374,2.057675572040977
375,2.120497774012093
376,2.1002706357785574
377,1.6855889084255438
378,0.8782184883444062
379,-0.02932045296096364
380,-0.6647322098197492
381,-0.8145576859275183
382,-0.5260598043241582
383,-0.022094208711106733
384,0.4814335662875719
385,0.9057159247802837
386,1.296165026197089
387,1.701037052162472
388,2.065022318988803
389,2.2435987828553183
390,2.1356908885485697
391,1.8224281763049262
392,1.5801894257505147
393,1.727730158603849
394,2.4018590603781527
395,3.4275146080461023
396,4.394191978883156
397,4.90446533447278
398,4.828563329316497
399,4.383134781268186
400,3.9709884903282195
401,3.889681036726734
402,4.115719966992999
403,4.322318472283913
404,4.123273932738288
405,3.3712913503002335
406,2.2953982474754446
407,1.3728313736523385
408,1.0182696708288006
409,1.3037825048711498
410,1.9030395770768282
411,2.2976400832280732
412,2.10314095942065
413,1.2947350700914049
414,0.18933479284822263
415,-0.7870559560550717
416,-1.3750125791022714
417,-1.6139733639830964
418,-1.7606700108406532
419,-2.0787235425540382
420,-2.6648663187649353
421,-3.42976787109211
422,-4.220978026685935
423,-4.966682248143462
424,-5.714424376073303
425,-6.536923173559357
426,-7.395273556301269
427,-8.091279294930336
428,-8.370466653705133
429,-8.110346409308878
430,-7.446943960830023
431,-6.7258576820493685
432,-6.292618044811639
433,-6.2647038001655835
434,-6.453745302282015
435,-6.504550597052768
436,-6.158549675377735
437,-5.45120084257789
438,-4.6930200463639515
439,-4.238372118881331
440,-4.204496867700652
441,-4.348031983061974
442,-4.20037063321033
443,-3.379265008291612
444,-1.8637926929509447
445,-0.03849501451875584
446,1.5306842307561137
447,2.441284107805498
448,2.690441058498403
449,2.64991379067043
450,2.8077647758713966
451,3.4590910093460403
452,4.550721065672759
453,5.765597595873683
454,6.762815184316255
455,7.391658147002348
456,7.7368553910478735
457,7.98964699389817
458,8.267445541036956
459,8.529358729636813
460,8.644228888614107
461,8.53894718623248
462,8.29074862443097
463,8.077126779507816
464,8.01894323626595
465,8.047105608496588
466,7.912820111589686
467,7.350860992354128
468,6.2799439544363445
469,4.88436645586086
470,3.503047408749819
471,2.3978588369631564
472,1.5718910137306052
473,0.7805508698008182
474,-0.26133857508714214
475,-1.6238268616802722
476,-3.052158554120554
477,-4.100660999786392
478,-4.4318905635403105
479,-4.075153390879998
480,-3.455125345219503
481,-3.1552915731217985
482,-3.5653525229998966
483,-4.645549882748249
484,-5.96349135308725
485,-6.974483477238833
486,-7.354392756722847
487,-7.16691362550005
488,-6.769761849741315
489,-6.545709109339949
490,-6.655322996139107
491,-6.9749877530885005
492,-7.238736649828154
493,-7.25654084242031
494,-7.040329803372784
495,-6.75514145032897
496,-6.553813680226221
497,-6.439653601923293
498,-6.269595068204303
499,-5.89057430694318
500,-5.2914878977978725
501,-4.63983503980009
502,-4.16595858620932
503,-3.9836889490887732
504,-3.993076662684063
505,-3.951042686407545
506,-3.6633184274517694
507,-3.149277361477496
508,-2.6429976810843265
509,-2.4158147538341597
510,-2.547642973271781
511,-2.8262190705105277
512,-2.8691483866678915
513,-2.399605173389167
514,-1.482900949812071
515,-0.5435069079089516
516,-0.12877937940708262
517,-0.5652907557865832
518,-1.7371225322728363
519,-3.1396597795912884
520,-4.1776834166755545
521,-4.511845001349909
522,-4.228278876803044
523,-3.731247093496126
524,-3.448162385658614
525,-3.5564658171279357
526,-3.9116967136411214
527,-4.203818950192074
528,-4.20814832720116
529,-3.9426027634136993
530,-3.6271505734646503
531,-3.4947255367151517
532,-3.608941395887138
533,-3.826943985628987
