,forcing function
1172,-0.18679951259184957
1173,-0.1885602180981658
1174,-0.20666600634687718
1175,-0.20287064504145266
1176,-0.16660390409198106
1177,-0.12287887234744149
1178,-0.118613122627094
1179,-0.19490104244833267
1180,-0.36059296294145815
1181,-0.5821474776407055
1182,-0.7962667526301715
1183,-0.9396731637605966
1184,-0.9808998947584517
1185,-0.9372119125665376
1186,-0.8668705815214214
1187,-0.8394491190686447
1188,-0.8984704758534949
1189,-1.0352803101887493
1190,-1.1882005557098592
1191,-1.2688358739918468
1192,-1.2038782086706792
1193,-0.9726256843387278
1194,-0.6218655116818295
1195,-0.2502243888880969
1196,0.03145848859825434
1197,0.14576556459332157
1198,0.07955669445998072
1199,-0.11361657058501054
1200,-0.3396785491049002
1201,-0.505632058911083
1202,-0.5568264801982173
1203,-0.4932086303410999
1204,-0.3588741289606903
1205,-0.212485654214718
1206,-0.0949838895528265
1207,-0.011219326078256018
1208,0.06611710103707169
1209,0.17409968448979996
1210,0.33230469012021735
1211,0.5265473767981994
1212,0.7132010876012631
1213,0.8422306239198154
1214,0.8865517184834789
1215,0.8613518348522122
1216,0.821788962330186
1217,0.838663025315952
1218,0.9634748983808011
1219,1.2005495506076365
1220,1.5011601686607248
1221,1.7839892846825478
1222,1.9730175296484938
1223,2.0347341680034634
1224,1.996198197539534
1225,1.934354444951744
1226,1.9408881745444186
1227,2.078968714796474
1228,2.352482333073084
