,training_2,training_1
236,-0.07701981567921182,1.1759338545116231
237,-0.07648883394248966,1.1497762274282948
238,-0.07437775216755443,1.124345976112664
239,-0.07071687431567916,1.0998708407370683
240,-0.06554520339428621,1.0765673580485808
241,-0.05891023005203767,1.0546383611944474
242,-0.050867675559814154,1.034270650525877
243,-0.041481190641821125,1.015632864414806
244,-0.030822011863314826,0.9988735764232661
245,-0.018968577513856458,0.9841196421298295
246,-0.006006105146595414,0.9714748155812936
247,0.007973866856748182,0.9610186517486926
248,0.022873971129585738,0.9528057075723679
249,0.03859153382599642,0.9468650502334658
250,0.05501912487526295,0.943200077243501
251,0.07204513292311496,0.9417886488526886
252,0.08955436176523189,0.9425835291993411
253,0.10742864496413124,0.945513128609611
254,0.12554747524502838,0.9504825355650721
255,0.14378864518947332,0.9573748231360802
256,0.16202889568861575,0.9660526111819602
257,0.18014456858055972,0.9763598623908545
258,0.19801225987907528,0.9881238873155223
259,0.21550947000363765,1.0011575309944545
260,0.2325152474437744,1.0152615115638766
261,0.24891082233312034,1.030226879493068
262,0.2645802264713855,1.0458375647359748
263,0.2794108964137846,1.0618729782011598
264,0.29329425634791595,1.0781106335107202
265,0.3061262775968872,1.0943287550499927
266,0.31780801172354556,1.1103088388007243
267,0.32824609436346813,1.1258381333916903
268,0.3373532170832711,1.1407120101773798
269,0.34504856474432394,1.1547361929458155
270,0.3512582160494894,1.1677288200336737
271,0.35591550516061216,1.1795223141588513
272,0.3589613424962822,1.1899650381299784
273,0.3603444930512123,1.198922717718325
274,0.36002181081972134,1.206279616335031
275,0.3579584281538515,1.2119394496971427
276,0.3541278991416843,1.2158260323406327
277,0.3485122963505846,1.2178836515940008
278,0.341102260542523,1.2180771684102285
279,0.33189700323325655,1.2163918482151217
280,0.32090426223163404,1.2128329286131105
281,0.3081402105586052,1.2074249343472074
282,0.2936293194064158,1.2002107532886335
283,0.2774041760547377,1.191250490387206
284,0.25950525791159246,1.1806201194034127
285,0.23998066409070817,1.1684099548276907
286,0.2188858061723808,1.154722968637276
287,0.19628306002077917,1.139672978417201
288,0.17224138074525908,1.1233827348541017
289,0.1468358830961356,1.1059819376824152
290,0.1201473897741808,1.0876052098080082
291,0.09226195030863477,1.0683900595495321
292,0.06327033331747851,1.0484748607206125
293,0.03326749510775627,1.0279968796339156
294,0.002352027699450421,1.0070903770511148
295,-0.02937441053438787,0.985884811650367
296,-0.06180767832849453,0.964503169756518
297,-0.09484174573272927,0.9430604439089507
298,-0.1283692956589126,0.921662280359761
299,-0.16228232932748013,0.9004038128391527
300,-0.19647277216023035,0.8793686969372829
301,-0.23083307667249015,0.8586283562754002
302,-0.26525681894294184,0.8382414483233134
303,-0.29963928528532846,0.8182535543118291
304,-0.3338780458101411,0.7986970942394948
305,-0.3678735116473425,0.7795914645328161
306,-0.40152947270305855,0.7609433925378315
307,-0.4347536129413156,0.7427474987490078
308,-0.46745800031845997,0.7249870545652749
309,-0.49955954864918783,0.7076349204485524
310,-0.5309804488510688,0.6906546466888233
311,-0.5616485671953002,0.6740017165910471
312,-0.5914978083864837,0.6576249098264004
313,-0.6204684415011257,0.641467761963299
314,-0.648507387031829,0.625470094837905
315,-0.6755684635121517,0.6095695914562803
316,-0.7016125924320117,0.5937033885575994
317,-0.7266079603970825,0.5778096598132233
318,-0.7505301377329678,0.5618291628963454
319,-0.7733621529882032,0.5457067243216606
320,-0.7950945230444425,0.5293926370186423
321,-0.8157252387993836,0.512843947044565
322,-0.8352597066434954,0.49602560764681247
323,-0.8537106462064984,0.47891148101786796
324,-0.8710979451006985,0.4614851705211254
325,-0.8874484716352697,0.44374066886337155
326,-0.9027958467163509,0.42568281061173396
327,-0.9171801763811037,0.4073275205547933
328,-0.9306477466392153,0.3887018526431408
329,-0.9432506825097339,0.3698438175671639
330,-0.9550465733451592,0.35080200038844067
331,-0.9660980667261257,0.33163497298658084
332,-0.9764724333878098,0.31241050936643877
333,-0.9862411058032966,0.29320461504062667
334,-0.9954791931970782,0.274100384714264
335,-1.0042649758940623,0.25518670530561904
336,-1.012679382025068,0.23655682389643007
337,-1.0208054497072088,0.2183068024808721
338,-1.0287277778974275,0.20053388333678246
339,-1.0365319691784034,0.1833347904478883
340,-1.0443040677787676,0.1668039936348941
341,-1.0521299961523582,0.15103196288885043
342,-1.0600949934457042,0.13610344082581913
343,-1.0682830591673835,0.12209576119195396
344,-1.0767764053392614,0.10907724093780612
345,-1.0856549203559929,0.09710567255748406
346,-1.0949956477078355,0.08622694215867346
347,-1.1048722826321156,0.07647379711221623
348,-1.1153546896511601,0.0678647851452605
349,-1.1265084438304165,0.06040338441678908
350,-1.1383943984497666,0.05407734148195738
351,-1.15106828162532,0.048858231146792275
352,-1.1645803242483324,0.0447012490800382
353,-1.1789749214240377,0.041545244727035927
354,-1.1942903293968572,0.03931299860899272
355,-1.2105583997403537,0.0379117445396549
356,-1.2278043523730868,0.03723393369936079
357,-1.2460465887341903,0.03715823392746724
358,-1.265296546218695,0.0375507540777978
359,-1.2855585947318657,0.03826647988018651
360,-1.3068299759768984,0.03915090451336384
361,-1.32910078584119,0.04004183406830465
362,-1.35235399999626,0.04077134531038733
363,-1.3765655425747445,0.04116787067597493
364,-1.4017043975378605,0.04105838329978781
365,-1.4277327620988385,0.04027065309799878
366,-1.4546062413231535,0.038635543554774526
367,-1.4822740827880967,0.035989317899383394
368,-1.510679449950897,0.032175922833957336
369,-1.5397597326506332,0.027049217888130306
370,-1.569446892952874,0.020475118840639038
371,-1.599667844341722,0.01233362445709265
372,-1.63034486206947,0.002520697039746403
373,-1.6613960222933843,-0.009050031046083831
374,-1.692735667462119,-0.02244575063358055
375,-1.7242748952608011,-0.03771319212186597
376,-1.755922068287545,-0.05487758547701074
377,-1.787583341512219,-0.07394188129609014
378,-1.8191632044651205,-0.09488624699990257
379,-1.8505650350163165,-0.11766784863428098
380,-1.8816916615379764,-0.14222092500138808
381,-1.912445930192301,-0.1684571569616867
382,-1.9427312740559293,-0.1962663307969713
383,-1.9724522807797533,-0.22551729055979725
384,-2.0015152554889393,-0.2560591704075743
385,-2.029828775654026,-0.2877228940873391
386,-2.0573042347073307,-0.32032292504954957
387,-2.083856371242086,-0.353659247180968
388,-2.109403780712118,-0.38751955290361767
389,-2.1338694066480937,-0.42168161243616087
390,-2.157181008522136,-0.45591579539777477
391,-2.179271603524051,-0.48998771368839666
392,-2.200079879660224,-0.52366095273782
393,-2.2195505777480116,-0.5566998568037436
394,-2.2376348400553674,-0.5888723330400705
395,-2.254290523523671,-0.6199526385626096
396,-2.2694824757130405,-0.6497241147224055
397,-2.283182771820745,-0.6779818332566427
398,-2.2953709113440057,-0.7045351199206977
399,-2.306033973187819,-0.7292099226011999
400,-2.3151667282540607,-0.7518509927518875
401,-2.3227717087896345,-0.7723238512582972
402,-2.3288592340170786,-0.7905165124953486
403,-2.3334473918190364,-0.8063409433584341
404,-2.3365619764979937,-0.8197342373852252
405,-2.338236382881649,-0.8306594876969869
406,-2.3385114572929515,-0.8391063463289012
407,-2.3374353061482482,-0.8450912615352245
408,-2.3350630631880698,-0.8486573887962066
409,-2.3314566165801494,-0.8498741754626518
410,-2.32668429736215,-0.8488366231952226
411,-2.3208205309113574,-0.8456642365322689
412,-2.3139454533389006,-0.840499669996684
413,-2.3061444949051704,-0.8335070900730802
414,-2.2975079327411105,-0.8248702721005791
415,-2.288130415334239,-0.8147904555813716
416,-2.2781104613992067,-0.8034839845566959
417,-2.2675499358985345,-0.7911797625059379
418,-2.2565535061095114,-0.778116553643856
419,-2.2452280807468425,-0.7645401644928228
420,-2.233682235247765,-0.7507005411643984
421,-2.222025626405605,-0.7368488188763203
422,-2.2103683995989325,-0.723234360842299
423,-2.198820591906688,-0.7101018237947624
424,-2.1874915344239056,-0.6976882870327895
425,-2.176489257098509,-0.6862204810344633
426,-2.1659198993966635,-0.6759121503452782
427,-2.1558871300726157,-0.6669615836712119
428,-2.1464915792688535,-0.6595493418891543
429,-2.1378302861043674,-0.6538362120699782
430,-2.1299961648228707,-0.6499614126248081
431,-2.123077492469525,-0.648041071373497
432,-2.117157420945207,-0.6481669947412969
433,-2.1123135161513704,-0.6504057424624243
434,-2.108617326787656,-0.6547980181602375
435,-2.1061339851992753,-0.6613583820365765
436,-2.1049218424923346,-0.6700752876928759
437,-2.105032139944486,-0.680911440880234
438,-2.106508718535903,-0.6938044737904658
439,-2.109387768213267,-0.7086679244121353
440,-2.1136976182780973,-0.7253925065388358
441,-2.1194585700619437,-0.7438476522845411
442,-2.126682772815556,-0.7638833054817379
443,-2.135374143498752,-0.7853319411590406
444,-2.145528330914073,-0.808010783458225
445,-2.1571327243805936,-0.8317241918920366
446,-2.1701665068973917,-0.8562661837979266
447,-2.184600752499553,-0.8814230592335877
448,-2.200398567264503,-0.9069760934088764
449,-2.217515273185396,-0.9327042610703
450,-2.235898633891019,-0.958386957054479
451,-2.2554891209609518,-0.9838066775093754
452,-2.2762202193610377,-1.0087516270388464
453,-2.2980187703088792,-1.0330182182471224
454,-2.320805349673805,-1.0564134318257232
455,-2.344494679820747,-1.0787570074121846
456,-2.3689960726252437,-1.0998834379287195
457,-2.3942139012164314,-1.1196437429421953
458,-2.420048097849369,-1.1379069997374924
459,-2.4463946751665455,-1.1545616142174118
460,-2.4731462679830694,-1.169516317388363
461,-2.5001926926200166,-1.1827008770095941
462,-2.527421520718265,-1.1940665179231251
463,-2.5547186643892155,-1.2035860485864893
464,-2.581968969501183,-1.2112536953463406
465,-2.6090568138606174,-1.2170846499624064
466,-2.635866707025133,-1.2211143397640487
467,-2.662283888482679,-1.2233974335432345
468,-2.6881949209451714,-1.2240065998068372
469,-2.71348827553871,-1.2230310372812836
470,-2.7380549057225982,-1.2205748005386923
471,-2.761788806838556,-1.216754946256937
472,-2.7845875582766917,-1.2116995279007765
473,-2.8063528453471385,-1.20554546848817
474,-2.826990958064999,-1.198436342560411
475,-2.846413264189364,-1.1905200994891398
476,-2.8645366540059896,-1.1819467608148146
477,-2.8812839545048288,-1.172866124415203
478,-2.8965843107785494,-1.1634255079480986
479,-2.910373532654694,-1.153767563208548
480,-2.9225944047711243,-1.144028191798854
481,-2.933196958511457,-1.1343345908504379
482,-2.9421387044319474,-1.1248034554841686
483,-2.949384824033838,-1.11553936228119
484,-2.9549083199629944,-1.106633355294715
485,-2.9586901239515404,-1.0981617531046037
486,-2.960719162051969,-1.0901851921447139
487,-2.9609923769521265,-1.0827479180646633
488,-2.9595147073976547,-1.075877333272807
489,-2.956299024986336,-1.0695838050969355
490,-2.9513660288339523,-1.0638607352463725
491,-2.9447440988435365,-1.058684887516744
492,-2.9364691085369317,-1.0540169669992423
493,-2.9265841986290195,-1.0498024404918687
494,-2.9151395127388016,-1.045972584409995
495,-2.9021918968372127,-1.0424457433059124
496,-2.8878045642273538,-1.0391287791751826
497,-2.8720467280382502,-1.0359186890928576
498,-2.854993203386858,-1.0327043664205096
499,-2.8367239815238703,-1.0293684788871567
500,-2.8173237784266187,-1.0257894352997792
501,-2.796881560435162,-1.0218434115022996
502,-2.775490049646254,-1.0174064054907221
503,-2.7532452118819046,-1.0123562913147692
504,-2.730245730135893,-1.0065748415554228
505,-2.70659246647129,-0.9999496887593835
506,-2.682387915394357,-0.9923761972255014
507,-2.6577356517663557,-0.983759217959207
508,-2.6327397763321794,-0.9740147014166343
509,-2.607504361946105,-0.9630711448240226
510,-2.5821329035577016,-0.9508708533474812
511,-2.5567277749875394,-0.9373709971672717
512,-2.531389695471007,-0.9225444495379671
513,-2.506217208881274,-0.9063803941478513
514,-2.4813061784587824,-0.8888846934805287
515,-2.456749299774799,-0.8700800133793827
516,-2.4326356345426956,-0.8500057025719547
517,-2.409050167761104,-0.8287174294738123
518,-2.386073390531277,-0.8062865821104362
519,-2.363780910735229,-0.7827994404190826
520,-2.3422430935947394,-0.7583561334729941
521,-2.321524733953117,-0.7330693972595851
522,-2.301684761934187,-0.7070631514992962
523,-2.2827759834368058,-0.6804709165716498
524,-2.264844856719109,-0.653434093882869
525,-2.247931306117029,-0.6261001349343231
526,-2.2320685737258557,-0.598620625903891
527,-2.2172831096550216,-0.5711493157143276
528,-2.20359450124418,-0.5438401163145095
529,-2.191015441405824,-0.5168451042339609
530,-2.1795517360365455,-0.4903125523820846
531,-2.1692023502171116,-0.4643850205535892
532,-2.159959492702272,-0.4391975321797059
533,-2.151808737985472,-0.41487586354268197
534,-2.144729185013019,-0.39153496997097587
535,-2.1386936514177393,-0.3692775714771299
536,-2.1336689019449335,-0.34819291792171436
537,-2.1296159095545764,-0.3283557511180843
538,-2.126490147504472,-0.3098254783741363
539,-2.1242419105500354,-0.2926455688407893
540,-2.1228166632390413,-0.27684318074752806
541,-2.1221554131342595,-0.2624290242020729
542,-2.122195106664837,-0.2493974607620172
543,-2.122869045188834,-0.23772683750285561
544,-2.124107318745213,-0.22738004985836724
545,-2.125837254884501,-0.21830532414728654
546,-2.1279838798937982,-0.21043720747221317
547,-2.1304703896736417,-0.20369774963021559
548,-2.133218627482554,-0.19799785885398044
549,-2.1361495657394047,-0.19323881064806867
550,-2.139183789064348,-0.18931388673476676
551,-2.1422419757462468,-0.18611011921056736
552,-2.1452453748474998,-0.18351011346539398
553,-2.148116276196707,-0.1813939222557167
554,-2.150778470574334,-0.17964094256593738
555,-2.153157697467139,-0.17813180655214145
556,-2.1551820778522575,-0.17675023794332312
557,-2.1567825295713936,-0.17538484577688015
558,-2.1578931629692666,-0.17393082826149167
559,-2.1584516545964005,-0.17229156087742398
560,-2.15839959691532,-0.17038004452470668
561,-2.1576828220990674,-0.16812019158861707
562,-2.156251698171536,-0.16544793018038012
563,-2.154061395909222,-0.16231210949531444
564,-2.1510721251023006,-0.15867519217163725
565,-2.1472493389591234,-0.15451372268963215
566,-2.142563905630525,-0.14981856417704792
567,-2.1369922460275306,-0.14459489943414816
568,-2.1305164373078176,-0.1388619955123807
569,-2.123124281610429,-0.13265273472187972
570,-2.1148093398243244,-0.12601291845483004
571,-2.1055709303824672,-0.11900035364221596
572,-2.095414093278981,-0.11168373496164434
573,-2.0843495197103796,-0.10414133903482957
574,-2.0723934479423107,-0.09645954974954464
575,-2.059567526199487,-0.08873123646982511
576,-2.0458986435670035,-0.08105400922067267
577,-2.031418730075573,-0.07352837691516594
578,-2.0161645273196793,-0.06625583630255827
579,-2.0001773311254376,-0.0593369205308621
580,-1.9835027079438412,-0.05286923701811343
581,-1.9661901867923368,-0.04694552469841452
582,-1.9482929287051494,-0.04165176064664531
583,-1.929867375776713,-0.03706534558611118
584,-1.9109728819949665,-0.03325339685374679
585,-1.8916713281596944,-0.030271176047727222
586,-1.872026723265905,-0.02816067683014277
587,-1.8521047948024,-0.026949396226170916
588,-1.8319725704717593,-0.026649310279419636
589,-1.811697953878453,-0.027256072124078948
590,-1.7913492967574514,-0.02874844745732605
591,-1.7709949703262164,-0.031087999081500006
592,-1.7507029383376045,-0.03421902868167748
593,-1.7305403343917531,-0.03806878035871489
594,-1.7105730460291184,-0.04254790670141907
595,-1.6908653080776705,-0.047551194407366465
596,-1.6714793076623533,-0.052958542702435024
597,-1.6524748032068668,-0.058636184117989196
598,-1.633908759666056,-0.06443813361431874
599,-1.6158350021220662,-0.07020784864002579
600,-1.5983038897609922,-0.07578007953890623
601,-1.5813620121176342,-0.08098288680363497
602,-1.565051909337065,-0.08563979907225075
603,-1.5494118180524166,-0.08957208350695793
604,-1.5344754443200526,-0.09260109831837846
605,-1.5202717648873532,-0.0945506957309537
606,-1.506824857894812,-0.09524964264899835
607,-1.4941537639353255,-0.09453402569489437
608,-1.482272378209173,-0.09224960716197561
609,-1.4711893743254667,-0.08825409875845683
610,-1.4609081601102947,-0.08241932081430188
611,-1.4514268655895972,-0.07463321587017777
612,-1.4427383631222073,-0.06480168725318976
613,-1.434830319466882,-0.05285023534622667
614,-1.4276852793770396,-0.03872536674970495
615,-1.4212807801298728,-0.022395754384117936
616,-1.415589496213765,-0.003853129751911502
617,-1.4105794132198943,0.016887107974737525
618,-1.4062140298125994,0.0397855776925512
619,-1.4024525864882191,0.06477890472112062
620,-1.3992503196761126,0.09178001556563001
621,-1.3965587395880967,0.12067873880962593
622,-1.394325930085036,0.15134270776510703
623,-1.3924968687025912,0.18361855644624941
624,-1.3910137648626562,0.2173333964622421
625,-1.3898164141936808,0.25229655859624694
626,-1.3888425667920619,0.28830157920668986
627,-1.3880283071794401,0.3251284082006199
628,-1.3873084436462515,0.3625458122375853
629,-1.3866169046218213,0.4003139440656102
630,-1.3858871396751193,0.4381870465093702
631,-1.385052522728431,0.4759162576579471
632,-1.3840467550589446,0.5132524822615674
633,-1.3828042656701665,0.5499492932694164
634,-1.3812606066365969,0.5857658268355355
635,-1.3793528410605862,0.6204696340012484
636,-1.377019921329889,0.6538394526291358
637,-1.3742030554275277,0.6856678640157535
638,-1.3708460591220057,0.7157637999347934
639,-1.366895691954944,0.7439548676446037
640,-1.3623019750444578,0.7700894626109592
641,-1.3570184888355572,0.7940386413175026
642,-1.3510026490522358,0.8156977295308945
643,-1.3442159592400047,0.8349876447130853
644,-1.336624238430356,0.8518559148879847
645,-1.3281978226103457,0.8662773801247368
646,-1.3189117388393126,0.878254566844431
647,-1.3087458510201382,0.8878177293379311
648,-1.2976849765038576,0.8950245571428062
649,-1.2857189728815424,0.8999595512124127
650,-1.2728427944967708,0.9027330760607386
651,-1.2590565183932223,0.9034800992277682
652,-1.2443653395949463,0.9023586334254637
653,-1.228779535799631,0.8995479005408581
654,-1.2123144017474246,0.8952462402394484
655,-1.1949901537084757,0.8896687891811056
656,-1.1768318047090118,0.8830449597894675
657,-1.157869011289712,0.8756157500647282
658,-1.1381358927577914,0.8676309180652136
659,-1.117670824056897,0.8593460563776503
660,-1.096516203533695,0.8510196031263014
661,-1.0747181970278472,0.8429098268225755
662,-1.0523264598501865,0.8352718226186838
663,-1.0293938383434578,0.8283545572991429
664,-1.0059760528385073,0.8223979996266372
665,-0.9821313639266105,0.8176303714630185
666,-0.957920224065191,0.8142655534303629
667,-0.9334049166178279,0.8125006767828359
668,-0.9086491845014846,0.8125139306570357
