,Time,V,Pitch_Deg,Pitch_Rad,Theta_dot_deg
105,1.761871,0.6436177,3.5072466580799997,0.061213001863063776,0.0
106,1.7789,0.6717336999999999,3.5072466580799997,0.061213001863063776,0.0
107,1.795898,0.7103095,3.5072466580799997,0.061213001863063776,0.0
108,1.812531,0.7499882,3.5072466580799997,0.061213001863063776,0.0
109,1.829102,0.7794554999999999,3.5072466580799997,0.061213001863063776,0.0
110,1.846008,0.8203226,3.5072466580799997,0.061213001863063776,0.0
111,1.862946,0.8616539999999999,3.5072466580799997,0.061213001863063776,0.0
112,1.878662,0.8916788999999999,3.5072466580799997,0.061213001863063776,0.0
113,1.895447,0.9331751000000001,3.5072466580799997,0.061213001863063776,0.0
114,1.912933,0.9744281,3.5072466580799997,0.061213001863063776,0.0
115,1.928741,1.0041186,3.5039826082800003,0.06115603344710473,-0.2064808830971269
116,1.945892,1.044173,3.4265929698,0.05980532944870062,-4.512252258177395
117,1.961853,1.0827407,3.3126776298000005,0.057817131697171835,-7.13710544452095
118,1.978699,1.1097088000000002,3.178350865800001,0.055472687391822456,-7.9738076694764395
119,1.995758,1.1449540999999999,3.036504141000001,0.05299699501089216,-8.315066815170919
120,2.011902,1.1779859,2.9143526346000006,0.05086504903794123,-7.566371803766048
121,2.029022,1.2010484000000001,2.827652553,0.04935184715227346,-5.064257102803828
122,2.045563,1.23057319,2.7721066626,0.048382388478841555,-3.3580732966567584
123,2.061584,1.2580158000000001,2.7534445606799998,0.04805667335499479,-1.1648525010923525
124,2.079742,1.27811658,2.7534445606799998,0.04805667335499479,0.0
125,2.095764,1.30247346,2.7534445606799998,0.04805667335499479,0.0
126,2.112091,1.32473306,2.7534445606799998,0.04805667335499479,0.0
127,2.128693,1.34220501,2.7534445606799998,0.04805667335499479,0.0
128,2.145874,1.3613065599999998,2.7534445606799998,0.04805667335499479,0.0
129,2.16156,1.37835555,2.7534445606799998,0.04805667335499479,0.0
130,2.178802,1.39325381,2.7534445606799998,0.04805667335499479,0.0
131,2.195892,1.40737734,2.7534445606799998,0.04805667335499479,0.0
132,2.2117,1.4197032799999998,2.7534445606799998,0.04805667335499479,0.0
133,2.22876,1.4323469899999999,2.7534445606799998,0.04805667335499479,0.0
134,2.244965,1.4422644800000002,2.7534445606799998,0.04805667335499479,0.0
135,2.262695,1.45080476,2.7534445606799998,0.04805667335499479,0.0
136,2.279358,1.46150154,2.6950339191599997,0.047037215342268686,-3.505409681329831
137,2.295898,1.4676807,2.600455734359999,0.04538651461694902,-5.718149020556256
138,2.31189,1.4723345600000002,2.4668451759599996,0.04305457045744086,-8.354837318659417
139,2.329132,1.48002876,2.3156880159599997,0.04041638032747699,-8.766799675211697
140,2.345703,1.4821536899999999,2.1627403815599995,0.03774694052406045,-9.229837330275858
141,2.362061,1.4831649500000001,2.025548874359999,0.035352497017646936,-8.386814231568506
142,2.378326,1.4881323,1.9084106487599994,0.03330804930098303,-7.201858321549434
143,2.39563,1.4878354,1.8320952632399992,0.03197609455373022,-4.410274244105373
144,2.41217,1.4873770000000002,1.789798907159999,0.031237883878538295,-2.557216207980669
145,2.429077,1.4916302000000001,1.789798907159999,0.031237883878538295,0.0
146,2.445984,1.4915671,1.789798907159999,0.031237883878538295,0.0
147,2.461792,1.4919679,1.789798907159999,0.031237883878538295,0.0
148,2.478668,1.4967857,1.789798907159999,0.031237883878538295,0.0
149,2.495514,1.49803,1.789798907159999,0.031237883878538295,0.0
150,2.512115,1.4998949000000001,1.789798907159999,0.031237883878538295,0.0
151,2.528656,1.5054702,1.789798907159999,0.031237883878538295,0.0
152,2.545013,1.5082648,1.789798907159999,0.031237883878538295,0.0
153,2.561859,1.5116376,1.789798907159999,0.031237883878538295,0.0
154,2.579285,1.5179211000000001,1.789798907159999,0.031237883878538295,0.0
155,2.595642,1.522022,1.789798907159999,0.031237883878538295,0.0
156,2.612793,1.5264780999999998,1.789798907159999,0.031237883878538295,0.0
157,2.629028,1.5331915999999999,1.789798907159999,0.031237883878538295,0.0
158,2.645874,1.5375138,1.676957835959999,0.029268435654620947,-6.698389599904959
159,2.662079,1.5409209,1.4853359703599989,0.025924003181086886,-11.8248605738971
160,2.678436,1.5448316,1.181272359959999,0.020617092044105615,-18.589204034969526
161,2.696045,1.5445413000000001,0.813825939959999,0.014203942190439672,-20.866966891930545
162,2.712067,1.541515,0.37082153195999884,0.006472056669991361,-27.64975708400953
163,2.728821,1.5381358,-0.10226279844000113,-0.0017848225350813407,-28.23709743344846
164,2.745789,1.5289244,-0.5885967344400012,-0.010272950982464722,-28.661830268741376
165,2.761719,1.5161634,-1.075288733640001,-0.018767328811618328,-30.551914576271177
166,2.779144,1.5038657,-1.519725473640001,-0.02652421324144831,-25.505695265422883
167,2.794983,1.4846636,-1.9326498800400012,-0.03373110369497146,-26.070105840014904
